Region,Title,Rank,Source
HK,Troll 2,1,Netflix
HK,Unknown Number: The High School Catfish,1,Netflix
HK,Ziam,1,Netflix
HK,Suffocating Love,1,Netflix
HK,The Electric State,1,Netflix
HK,Organ Child,1,Netflix
HK,Meg 2: The Trench,1,Netflix
HK,Mission: Impossible - Dead Reckoning,1,Netflix
HK,Elektra,2,Netflix
HK,Fast X,2,Netflix
HK,Trainwreck: Poop Cruise,2,Netflix
HK,Wall to Wall,2,Netflix
HK,Late Night with the Devil,2,Netflix
HK,My Oxford Year,2,Netflix
HK,Revelations,2,Netflix
HK,The Equalizer,2,Netflix
HK,Legends of the Condor Heroes: The Gallants,2,Netflix
HK,Mantis,2,Netflix
HK,Night Always Comes,2,Netflix
HK,The Thursday Murder Club,2,Netflix
HK,Titan: The OceanGate Submersible Disaster,2,Netflix
HK,Transformers: Rise of the Beasts,2,Netflix
HK,The Life List,2,Netflix
HK,Ballad of a Small Player,2,Netflix
HK,Carry-On,2,Netflix
HK,Ad Vitam,2,Netflix
HK,A Widow's Game,2,Netflix
HK,I Know What You Did Last Summer,2,Netflix
HK,Karate Kid: Legends,2,Netflix
HK,La Dolce Villa,2,Netflix
HK,Inside Man: Most Wanted,2,Netflix
HK,Jingle Bell Heist,2,Netflix
HK,28 Weeks Later,2,Netflix
HK,Death Race,2,Netflix
HK,Fall for Me,3,Netflix
HK,Havoc,3,Netflix
HK,Counterattack,3,Netflix
HK,Connected,3,Netflix
HK,Crayon Shin-chan the Movie: Our Dinosaur Diary,3,Netflix
HK,Brick,3,Netflix
HK,Mission: Impossible - Ghost Protocol,3,Netflix
HK,Money Games,3,Netflix
HK,"Hello, Love, Again",3,Netflix
HK,Black Sea,3,Netflix
HK,Cells At Work!,3,Netflix
HK,Happy Gilmore 2,3,Netflix
HK,It Ends With Us,3,Netflix
HK,Infinite,3,Netflix
HK,In Your Dreams,3,Netflix
HK,No More Bets,3,Netflix
HK,War of the Worlds,3,Netflix
HK,The Equalizer 2,3,Netflix
HK,The Call of the Wild,3,Netflix
HK,Renfield,3,Netflix
HK,STRAW,3,Netflix
HK,The Elixir,3,Netflix
HK,My Secret Santa,3,Netflix
HK,The First Slam Dunk,3,Netflix
HK,Until Dawn,3,Netflix
HK,The Stone,4,Netflix
HK,The Sentinel,4,Netflix
HK,Welcome to Sudden Death,4,Netflix
HK,The Old Guard,4,Netflix
HK,The Secret Life of Pets 2,4,Netflix
HK,The Twister: Caught in the Storm,4,Netflix
HK,K.O.,4,Netflix
HK,Faceless,4,Netflix
HK,The Fate of the Furious,4,Netflix
HK,My Hero Academia: You're Next,4,Netflix
HK,Love Untangled,4,Netflix
HK,New Gods: Nezha Reborn,4,Netflix
HK,Mission: Impossible - Fallout,4,Netflix
HK,A Time to Kill,4,Netflix
HK,10DANCE,4,Netflix
HK,Bloodshot,4,Netflix
HK,Flightplan,4,Netflix
HK,Knock at the Cabin,4,Netflix
HK,Afraid,4,Netflix
HK,Delicious,4,Netflix
HK,I Want To Be Boss,4,Netflix
HK,The Exorcist: Believer,5,Netflix
HK,The Northman,5,Netflix
HK,Troll,5,Netflix
HK,Tee Yai: Born To Be Bad,5,Netflix
HK,Oppenheimer,5,Netflix
HK,Mercy,5,Netflix
HK,Monk Comes Down the Mountain,5,Netflix
HK,Migration,5,Netflix
HK,Kingdom: Return of The Great General,5,Netflix
HK,Life or Something Like It,5,Netflix
HK,Squad 36,5,Netflix
HK,Kill Bill: Vol. 1,5,Netflix
HK,"It's a Mad, Mad, Mad World",5,Netflix
HK,GATAO: Like Father Like Son,5,Netflix
HK,Jack Reacher: Never Go Back,5,Netflix
HK,Kinda Pregnant,5,Netflix
HK,G.I. Joe: Retaliation,5,Netflix
HK,Initial D,5,Netflix
HK,404,5,Netflix
HK,Caramelo,5,Netflix
HK,Dead Talents Society,5,Netflix
HK,Cocaine Bear,5,Netflix
HK,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,5,Netflix
HK,Dhoom Dhaam,5,Netflix
HK,The Tourist,6,Netflix
HK,Trainwreck: Balloon Boy,6,Netflix
HK,World War Z,6,Netflix
HK,The Kingdom,6,Netflix
HK,Pixels,6,Netflix
HK,Larry Crowne,6,Netflix
HK,Nonnas,6,Netflix
HK,The Wrong Paris,6,Netflix
HK,Spy x Family Code: White,6,Netflix
HK,Helios,6,Netflix
HK,Gatao: Big Brothers,6,Netflix
HK,Good News,6,Netflix
HK,Knight and Day,6,Netflix
HK,Jumanji: The Next Level,6,Netflix
HK,Kill 'Em All 2,6,Netflix
HK,Mission: Impossible - Rogue Nation,6,Netflix
HK,Eye for an Eye,6,Netflix
HK,Back to the Future,6,Netflix
HK,Attack 13,6,Netflix
HK,65,6,Netflix
HK,Copycat,6,Netflix
HK,Fifty Shades Freed,6,Netflix
HK,Birth/Rebirth,6,Netflix
HK,Man on Fire,7,Netflix
HK,PAW Patrol: The Mighty Movie,7,Netflix
HK,The Negotiator,7,Netflix
HK,Total Recall,7,Netflix
HK,The Passion of the Christ,7,Netflix
HK,Trainwreck: The Cult of American Apparel,7,Netflix
HK,Train Dreams,7,Netflix
HK,The Karate Kid,7,Netflix
HK,The Rundown,7,Netflix
HK,Flirting Scholar,7,Netflix
HK,Five Nights at Freddy's,7,Netflix
HK,Lovesick,7,Netflix
HK,Last Bullet,7,Netflix
HK,Sikandar,7,Netflix
HK,Paycheck,7,Netflix
HK,Scouts Guide to the Zombie Apocalypse,7,Netflix
HK,The Core,7,Netflix
HK,A Merry Little Ex-Mas,7,Netflix
HK,11 Rebels,7,Netflix
HK,I Am the Secret in Your Heart,7,Netflix
HK,Jack Reacher,7,Netflix
HK,Jewel Thief - The Heist Begins,7,Netflix
HK,Disquiet,7,Netflix
HK,Catch Me If You Can,7,Netflix
HK,Don't Die: The Man Who Wants to Live Forever,7,Netflix
HK,French Lover,8,Netflix
HK,Enemy at the Gates,8,Netflix
HK,A Deadly American Marriage,8,Netflix
HK,Detective Conan the Movie: The Scarlet Bullet,8,Netflix
HK,Dolittle,8,Netflix
HK,Eastern Promises,8,Netflix
HK,Death Whisperer 2,8,Netflix
HK,Almost Cops,8,Netflix
HK,Murder in Monaco,8,Netflix
HK,Sunset Sunrise,8,Netflix
HK,Red Dragon,8,Netflix
HK,Tomb Watcher,8,Netflix
HK,Inferno,8,Netflix
HK,Jules,8,Netflix
HK,Jay Kelly,8,Netflix
HK,Just Go With It,8,Netflix
HK,The Perfect Neighbor,8,Netflix
HK,Sunshine,8,Netflix
HK,"Ruby Gillman, Teenage Kraken",8,Netflix
HK,The Bravest,8,Netflix
HK,The Family Stone,8,Netflix
HK,The Sum of All Fears,9,Netflix
HK,The Client,9,Netflix
HK,S.W.A.T.,9,Netflix
HK,Shark Whisperer,9,Netflix
HK,The Seat,9,Netflix
HK,The Intruder,9,Netflix
HK,Fifty Shades of Grey,9,Netflix
HK,"My Father, the BTK Killer",9,Netflix
HK,Paddington in Peru,9,Netflix
HK,Sosyal Climbers,9,Netflix
HK,The Croods: A New Age,9,Netflix
HK,Despicable Me 2,9,Netflix
HK,A Normal Woman,9,Netflix
HK,Bring Her Back,9,Netflix
HK,Big World,9,Netflix
HK,Abandoned Man,9,Netflix
HK,Dungeons & Dragons: Honor Among Thieves,9,Netflix
HK,Jolly LLB 3,9,Netflix
HK,Kill Bill: Vol. 2,9,Netflix
HK,Good Will Hunting,9,Netflix
HK,Happy Gilmore,9,Netflix
HK,In Youth We Trust,9,Netflix
HK,Just Like Heaven,9,Netflix
HK,"It's a Mad, Mad, Mad World 2",9,Netflix
HK,Indiana Jones and the Kingdom of the Crystal Skull,9,Netflix
HK,Delirium,10,Netflix
HK,Don't Say a Word,10,Netflix
HK,Kontrabida Academy,10,Netflix
HK,Jaat,10,Netflix
HK,Honeymoon Crasher,10,Netflix
HK,Central Intelligence,10,Netflix
HK,Detective Conan the Movie: The Phantom of Baker Street,10,Netflix
HK,Detective Conan : The Private Eyes' Requiem,10,Netflix
HK,8MM,10,Netflix
HK,Aileen: Queen of the Serial Killers,10,Netflix
HK,Britain and The Blitz,10,Netflix
HK,Con Mum,10,Netflix
