country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2025-07-06,Films,8,Bullet Train Explosion,,11
Japan,JP,2025-07-06,Films,9,The Suspect: Muroi Shinji,,1
Japan,JP,2025-07-06,Films,10,28 Weeks Later,,3
Japan,JP,2025-06-29,Films,1,Cells At Work!,,3
Japan,JP,2025-06-29,Films,2,KPop Demon Hunters,,1
Japan,JP,2025-06-29,Films,3,28 Weeks Later,,2
Japan,JP,2025-06-29,Films,4,99.9 Criminal Lawyer: The Movie,,6
Japan,JP,2025-06-29,Films,5,The Exorcist: Believer,,1
Japan,JP,2025-06-29,Films,6,Bullet Train Explosion,,10
Japan,JP,2025-06-29,Films,7,Judge!,,1
Japan,JP,2025-06-29,Films,8,Sniper: G.R.I.T. - Global Response & Intelligence Team,,1
Japan,JP,2025-06-29,Films,9,The Super Mario Bros. Movie,,9
Japan,JP,2025-06-29,Films,10,The Fate of the Furious,,3
Japan,JP,2025-06-22,Films,1,Cells At Work!,,2
Japan,JP,2025-06-22,Films,2,28 Weeks Later,,1
Japan,JP,2025-06-22,Films,3,99.9 Criminal Lawyer: The Movie,,5
Japan,JP,2025-06-22,Films,4,Bullet Train Explosion,,9
Japan,JP,2025-06-22,Films,5,K.O.,,3
Japan,JP,2025-06-22,Films,6,STRAW,,2
Japan,JP,2025-06-22,Films,7,Bewitched,,1
Japan,JP,2025-06-22,Films,8,Mission: Impossible - Dead Reckoning,,11
Japan,JP,2025-06-22,Films,9,The Super Mario Bros. Movie,,8
Japan,JP,2025-06-22,Films,10,Copycat,,1
Japan,JP,2025-06-15,Films,1,Cells At Work!,,1
Japan,JP,2025-06-15,Films,2,K.O.,,2
Japan,JP,2025-06-15,Films,3,STRAW,,1
Japan,JP,2025-06-15,Films,4,Bullet Train Explosion,,8
Japan,JP,2025-06-15,Films,5,Beetlejuice Beetlejuice,,1
Japan,JP,2025-06-15,Films,6,Strays,,1
Japan,JP,2025-06-15,Films,7,Mission: Impossible - Dead Reckoning,,10
Japan,JP,2025-06-15,Films,8,Titan: The OceanGate Submersible Disaster,,1
Japan,JP,2025-06-15,Films,9,The Super Mario Bros. Movie,,7
Japan,JP,2025-06-15,Films,10,99.9 Criminal Lawyer: The Movie,,4
Japan,JP,2025-06-08,Films,1,Bullet Train Explosion,,7
Japan,JP,2025-06-08,Films,2,Mission: Impossible - Dead Reckoning,,9
Japan,JP,2025-06-08,Films,3,Phases of the Moon,,2
Japan,JP,2025-06-08,Films,4,K.O.,,1
